Keyword,Relevant
tax,1
income,0
taxes,1
federal,0
IRS,1
rich,0
U.S.,0
corporations,1
healthcare,0
wealthy,0
taxed,1
profits,0
welfare,0
taxable,1
taxation,1
subsidies,0
Housing,0
taxing,1
fees,0
billionaires,1
payments,0
savings,0
expenses,0
deduction,0
earnings,0
Medicare,0
taxpayer,1
0,0
deduct,0
deductions,0
withheld,0
FICA,1
deductible,1
subsidy,0
people,0
inflation,0
time,0
China,0
thesis,0
automod,0
sub,0
market,0
Biden,0
Russia,0
wealth,0
Japan,0
wage,0
California,0
rate,0
government,0
food,0
economics questions,0
bot action,0
read article,0
fx9crj rules_roundtable_redux_rule_vi_and_offtopic,0
comments automatically,0
social security,0
lol,0
just,0
income tax,1
rates,0
minimum wage,0
yes,0
like,0
sales tax,1
don,0
