Keyword,Relevant
tax,1
income,1
taxes,0
federal,0
IRS,1
rich,0
U.S.,0
corporations,0
healthcare,0
wealthy,0
taxed,1
profits,1
welfare,0
taxable,1
taxation,1
subsidies,1
Housing,0
taxing,1
fees,0
billionaires,0
payments,0
savings,1
expenses,0
deduction,1
earnings,1
Medicare,0
taxpayer,1
0,0
deduct,1
deductions,1
withheld,1
FICA,1
deductible,1
subsidy,1
people,0
inflation,1
time,0
China,0
thesis,0
automod,0
sub,0
market,0
Biden,0
Russia,0
wealth,0
Japan,0
wage,1
California,0
rate,1
government,0
food,0
economics questions,0
bot action,0
read article,0
fx9crj rules_roundtable_redux_rule_vi_and_offtopic,0
comments automatically,0
social security,1
lol,0
just,0
income tax,1
rates,0
minimum wage,1
yes,0
like,0
sales tax,1
don,0
